"MacroTrends Data Download"
"S&P 500 Index: Daily Closing Values"

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


Date,"Closing Value"
1931-10-21,10.8600
1931-10-22,10.5000
1931-10-23,10.8400
1931-10-24,10.9400
1931-10-26,10.6400
1931-10-27,10.4100
1931-10-28,10.0700
1931-10-29,10.1100
1931-10-30,10.4300
1931-10-31,10.5300
1931-11-02,10.5000
1931-11-04,10.8200
1931-11-05,10.7800
1931-11-06,11.1100
1931-11-07,11.3700
1931-11-09,11.5200
1931-11-10,11.2800
1931-11-11,11.1100
1931-11-12,11.0700
1931-11-13,10.7200
1931-11-14,10.6000
1931-11-16,10.4300
1931-11-17,10.6000
1931-11-18,10.2100
1931-11-19,10.1600
1931-11-20,9.8500
1931-11-21,9.7700
1931-11-23,9.7000
1931-11-24,9.8700
1931-11-25,9.5300
1931-11-27,9.3100
1931-11-28,9.1700
1931-11-30,9.5000
1931-12-01,9.3800
1931-12-02,9.0500
1931-12-03,9.2200
1931-12-04,9.0200
1931-12-05,9.3300
1931-12-07,9.2900
1931-12-08,9.0200
1931-12-09,8.7800
1931-12-10,8.5800
1931-12-11,8.3100
1931-12-12,8.2000
1931-12-14,8.0100
1931-12-15,8.1200
1931-12-16,7.9300
1931-12-17,7.7200
1931-12-18,8.3600
1931-12-19,8.4000
1931-12-21,8.1500
1931-12-22,8.2900
1931-12-23,7.9500
1931-12-24,7.9600
1931-12-28,7.7600
1931-12-29,7.9600
1931-12-30,8.1000
1931-12-31,8.1200
1932-01-02,7.8200
1932-01-04,7.5600
1932-01-05,7.5500
1932-01-06,8.0800
1932-01-07,8.2200
1932-01-08,8.5700
1932-01-09,8.4000
1932-01-11,8.4800
1932-01-12,8.3900
1932-01-13,8.8000
1932-01-14,8.9000
1932-01-15,8.9200
1932-01-16,8.7200
1932-01-18,8.5100
1932-01-19,8.4800
1932-01-20,8.6300
1932-01-21,8.5800
1932-01-22,8.2100
1932-01-23,8.1600
1932-01-25,8.2000
1932-01-26,8.3100
1932-01-27,8.1500
1932-01-28,8.0300
1932-01-29,7.9400
1932-01-30,7.8900
1932-02-01,8.2300
1932-02-02,8.0500
1932-02-03,8.0900
1932-02-04,8.0400
1932-02-05,7.7800
1932-02-06,7.7200
1932-02-08,7.6200
1932-02-09,7.5300
1932-02-10,7.5000
1932-02-11,8.1200
1932-02-13,8.8000
1932-02-15,8.5000
1932-02-16,8.8400
1932-02-17,8.4800
1932-02-18,8.7100
1932-02-19,8.7200
1932-02-20,8.5200
1932-02-23,8.2200
1932-02-24,8.4300
1932-02-25,8.3500
1932-02-26,8.3400
1932-02-27,8.3500
1932-02-29,8.2900
1932-03-01,8.3500
1932-03-02,8.7100
1932-03-03,8.7100
1932-03-04,8.7200
1932-03-05,8.9800
1932-03-07,8.8200
1932-03-08,8.9800
1932-03-09,8.8100
1932-03-10,8.7300
1932-03-11,8.5200
1932-03-12,8.6000
1932-03-14,8.3100
1932-03-15,8.3100
1932-03-16,8.1100
1932-03-17,8.2800
1932-03-18,8.0200
1932-03-19,7.9600
1932-03-21,8.0600
1932-03-22,8.0500
1932-03-23,7.9400
1932-03-24,7.8600
1932-03-26,7.6200
1932-03-28,7.5900
1932-03-29,7.5800
1932-03-30,7.7400
1932-03-31,7.3100
1932-04-01,7.1800
1932-04-02,7.1000
1932-04-04,7.0600
1932-04-05,6.7300
1932-04-06,6.5300
1932-04-07,6.4600
1932-04-08,6.2600
1932-04-09,6.3100
1932-04-11,6.0700
1932-04-12,6.0600
1932-04-13,5.9800
1932-04-14,6.2500
1932-04-15,6.4200
1932-04-16,6.3300
1932-04-18,6.1200
1932-04-19,6.0300
1932-04-20,6.0300
